日期,行业名称,电量_万千瓦时
2024-01-04,  塑料制品业,767.5261
2024-01-04,  抽水蓄能抽水耗用电量,583.2504
2024-01-04,  玻璃制造,204.2977
2024-01-04,  生物药品制品制造,112.7877
2024-01-04,  电石,0.0
2024-01-04,  稀有稀土金属冶炼,5.3004
2024-01-04,  线路损失电量,0.0995
2024-01-04,  航空、航天器及设备制造,47.438
2024-01-04,  通信设备制造,113.5966
2024-01-04,  铁合金冶炼,19.385
2024-01-04,  铅锌冶炼,0.12
2024-01-04,  陶瓷制品制造,124.063
2024-01-04,  黄磷,72.1805
2024-01-04,1.农副食品加工业,783.5798
2024-01-04,1.房屋建筑业,397.3059
2024-01-04,1.煤炭开采和洗选业,6.1316
2024-01-04,1.电信、广播电视和卫星传输服务,454.5967
2024-01-04,1.电力、热力生产和供应业,955.5665
2024-01-04,1.科学研究和技术服务业,345.8784
2024-01-04,1.铁路运输业,1246.8188
2024-01-04,10.造纸和纸制品业,726.2605
2024-01-04,11.印刷和记录媒介复制业,144.908
2024-01-04,12.文教、工美、体育和娱乐用品制造业,93.0095
2024-01-04,13.石油、煤炭及其他燃料加工业,781.1602
2024-01-04,14.化学原料和化学制品制造业,4878.1635
2024-01-04,15.医药制造业,695.4316
2024-01-04,16.化学纤维制造业,86.9142
2024-01-04,17.橡胶和塑料制品业,1007.0514
2024-01-04,18.非金属矿物制品业,3703.8741
2024-01-04,19.黑色金属冶炼和压延加工业,3228.2158
2024-01-04,2.互联网和相关服务,384.6474
2024-01-04,2.土木工程建筑业,348.5163
2024-01-04,2.水利、环境和公共设施管理业,967.6107
2024-01-04,2.燃气生产和供应业,307.2593
2024-01-04,2.石油和天然气开采业,162.7378
2024-01-04,2.道路运输业,526.5591
2024-01-04,2.食品制造业,436.6452
2024-01-04,20.有色金属冶炼和压延加工业,515.4331
2024-01-04,21.金属制品业,1749.181
2024-01-04,22.通用设备制造业,673.8246
2024-01-04,23.专用设备制造业,292.5396
2024-01-04,24.汽车制造业,1723.01
2024-01-04,25.铁路、船舶、航空航天和其他运输设备制造业,247.004
2024-01-04,26.电气机械和器材制造业,1597.4647
2024-01-04,27.计算机、通信和其他电子设备制造业,3309.6395
2024-01-04,28.仪器仪表制造业,52.5624
2024-01-04,29.其他制造业,636.7215
2024-01-04,3.居民服务、修理和其他服务业,238.3324
2024-01-04,3.建筑安装业,68.3773
2024-01-04,3.水上运输业,18.5135
2024-01-04,3.水的生产和供应业,907.8353
2024-01-04,3.软件和信息技术服务业,214.5086
2024-01-04,3.酒、饮料及精制茶制造业,242.5703
2024-01-04,3.黑色金属矿采选业,160.7205
2024-01-04,30.废弃资源综合利用业,329.794
2024-01-04,31.金属制品、机械和设备修理业,152.7058
2024-01-04,4.建筑装饰、装修和其他建筑业,424.5719
2024-01-04,4.教育、文化、体育和娱乐业,2063.9388
2024-01-04,4.有色金属矿采选业,142.4777
2024-01-04,4.烟草制品业,76.3717
2024-01-04,4.航空运输业,73.186
2024-01-04,5.卫生和社会工作,948.4764
2024-01-04,5.管道运输业,40.7306
2024-01-04,5.纺织业,1500.1561
2024-01-04,5.非金属矿采选业  ,281.5295
2024-01-04,6.公共管理和社会组织、国际组织,956.7847
2024-01-04,6.其他采矿业  ,155.1657
2024-01-04,6.多式联运和运输代理业,33.5251
2024-01-04,6.纺织服装、服饰业,298.4061
2024-01-04,7.皮革、毛皮、羽毛及其制品和制鞋业,66.9994
2024-01-04,7.装卸搬运和仓储业,269.0494
2024-01-04,8.木材加工和木、竹、藤、棕、草制品业,498.2178
2024-01-04,8.邮政业,37.2932
2024-01-04,9.家具制造业,189.9771
2024-01-04,A、全行业用电合计,52730.0503
2024-01-04,B、城乡居民生活用电合计,14801.9425
2024-01-04,一、农、林、牧、渔业,1178.6526
2024-01-04,七、住宿和餐饮业,1018.8537
2024-01-04,三、建筑业,1238.7713
2024-01-04,九、房地产业,2571.3451
2024-01-04,二、工业,33797.2167
2024-01-04,五、信息传输、软件和信息技术服务业,1053.7527
2024-01-04,全行业用电分类,52730.0503
2024-01-04,八、金融业,285.0275
2024-01-04,六、批发和零售业,3498.8795
2024-01-04,其他开采专业及辅助性活动,21.9035
2024-01-04,十、租赁和商务服务业,320.8541
2024-01-04,十一、公共服务及管理组织,5521.0215
2024-01-04,四、交通运输、仓储和邮政业,2245.6757
2024-01-04,客户用电量,67531.9929
2024-01-04,（一）采矿业,908.7628
2024-01-04,（三）电力、热力、燃气及水的生产和供应业,2170.6611
2024-01-04,（二） 制造业,30717.7928
2024-01-05,      其中：排灌,133.9851
2024-01-05,    1.农业,382.1143
2024-01-05,    2.林业,7.4927
2024-01-05,    3.畜牧业,339.8186
2024-01-05,    4.渔业,83.8604
2024-01-05,    5.农、林、牧、渔专业及辅助性活动,369.514
2024-01-05,    乡村居民,5810.2624
2024-01-05,    城镇居民,8525.4491
2024-01-05,    第一产业,813.286
2024-01-05,    第三产业,16598.6386
2024-01-05,    第二产业,35236.4419
2024-01-05,  其中：中成药生产,52.0199
2024-01-05,  其中：互联网数据服务,105.1862
2024-01-05,  其中：体育用品制造,8.4358
2024-01-05,  其中：充换电服务业,672.2429
2024-01-05,  其中：光伏设备及元器件制造,20.1741
2024-01-05,  其中：公共照明,644.2965
2024-01-05,  其中：医疗仪器设备及器械制造,30.9484
2024-01-05,  其中：地质勘查,4.5654
2024-01-05,  其中：城市公共交通运输,357.7891
2024-01-05,  其中：教育,1683.1698
2024-01-05,  其中：新能源车整车制造,51.3722
2024-01-05,  其中：橡胶制品业,250.1922
2024-01-05,  其中：氯碱,163.768
2024-01-05,  其中：水利管理业,94.2264
